id,amount,fee,tax,method,bank,status,acquirer_data.bank_transaction_id,created_at,net_amount,settlement_date,description
pay_c2f9269cb36246,31240,657.0,118.0,netbanking,ICICI,captured,98441256,2026-08-26 06:14:57,30465.0,2026-08-27 06:14:57,ICICI-98441256
pay_0b7c035a39754d,16330,280.0,50.0,upi,,captured,94898188,2026-08-26 06:48:17,16000.0,2026-08-27 06:48:17,UNKNOWN-94898188
pay_d394ae7ad5f14d,12854,263.0,47.0,card,AXIS,captured,31113211,2026-08-26 07:06:30,12544.0,2026-08-28 07:06:30,AXIS-31113211
pay_92fee67c429c4e,51922,1145.0,206.0,upi,,captured,44684589,2026-08-26 07:19:10,50571.0,2026-08-28 07:19:10,UNKNOWN-44684589
pay_f399dd68966649,35608,705.0,127.0,upi,,captured,47280232,2026-08-26 08:57:49,34776.0,2026-08-28 08:57:49,UNKNOWN-47280232
pay_bffc80c5c83d4d,58157,0.0,0.0,wallet,CNRB,failed,,2026-08-26 09:36:29,58157.0,2026-08-28 09:36:29,CNRB
pay_706732f8a12041,37175,756.0,136.0,card,BOB,captured,65898520,2026-08-26 11:50:17,36283.0,2026-08-28 11:50:17,BOB-65898520
pay_682efa98225844,16247,0.0,0.0,card,ICICI,failed,,2026-08-26 12:57:17,16247.0,2026-08-27 12:57:17,ICICI
pay_b1360ab0731649,50182,1100.0,198.0,upi,,captured,91552473,2026-08-26 13:50:13,48884.0,2026-08-28 13:50:13,UNKNOWN-91552473
pay_cfafec0ad2ff46,40916,0.0,0.0,netbanking,PNB,failed,,2026-08-26 14:03:48,40916.0,2026-08-28 14:03:48,PNB
pay_ea4df126777a42,32423,0.0,0.0,wallet,BOB,authorized,,2026-08-26 15:25:51,32423.0,2026-08-28 15:25:51,BOB
pay_TUV3TH4wW7XSUT,10000,236.0,36.0,paylater,,captured,,2026-08-26 18:38:00,9728.0,2026-08-27 18:38:00,UNKNOWN
pay_TUV4H0d8vxdb3f,10500,248.0,38.0,paylater,,captured,,2026-08-26 18:38:46,10214.0,2026-08-28 18:38:46,UNKNOWN
pay_TUV4tZrvmbh2Tv,11000,260.0,40.0,paylater,,captured,,2026-08-26 18:39:21,10700.0,2026-08-27 18:39:21,UNKNOWN
pay_TUV5okU20sAjq0,11500,272.0,42.0,paylater,,captured,,2026-08-26 18:40:14,11186.0,2026-08-27 18:40:14,UNKNOWN
pay_01fffacf15c845,24591,410.0,74.0,emi,HDFC,captured,87177604,2026-08-26 18:40:21,24107.0,2026-08-27 18:40:21,HDFC-87177604
pay_TUV6A3li30L5E7,12000,284.0,44.0,netbanking,CNRB,captured,8655586,2026-08-26 18:40:33,11672.0,2026-08-27 18:40:33,CNRB-8655586
pay_dff3ffb20ada4f,34267,729.0,131.0,paylater,CNRB,captured,,2026-08-26 20:56:04,33407.0,2026-08-28 20:56:04,CNRB
pay_b83ac253bca74f,49081,0.0,0.0,paylater,CNRB,authorized,,2026-08-26 21:18:05,49081.0,2026-08-28 21:18:05,CNRB
pay_727f0bcbcbee4b,57921,0.0,0.0,emi,AXIS,authorized,,2026-08-26 21:47:23,57921.0,2026-08-28 21:47:23,AXIS
pay_31bd93508b7049,58556,0.0,0.0,emi,KOTAK,authorized,,2026-08-26 22:11:43,58556.0,2026-08-27 22:11:43,KOTAK
pay_9fe4aa3329b845,45225,0.0,0.0,emi,AXIS,authorized,,2026-08-26 23:09:11,45225.0,2026-08-28 23:09:11,AXIS
pay_9783a42386824f,32300,0.0,0.0,card,IDFC,authorized,,2026-08-27 00:25:02,32300.0,2026-08-28 00:25:02,IDFC
pay_fe326e596d964f,50723,0.0,0.0,paylater,CNRB,authorized,,2026-08-27 01:08:45,50723.0,2026-08-29 01:08:45,CNRB
pay_b1eef78316bf41,39434,926.0,167.0,upi,,captured,54267827,2026-08-27 02:53:44,38341.0,2026-08-29 02:53:44,UNKNOWN-54267827
pay_3442aa98552043,57070,1043.0,188.0,upi,,captured,82017489,2026-08-27 04:08:30,55839.0,2026-08-28 04:08:30,UNKNOWN-82017489
pay_TUf5sF70a5tJOx,42542,1005.0,154.0,netbanking,BARB_R,captured,5209971,2026-08-27 04:27:13,41383.0,2026-08-28 04:27:13,BARB_R-5209971
pay_TUf6LHur3Ow4jU,54150,1277.0,194.0,netbanking,BARB_R,captured,4960427,2026-08-27 04:27:39,52679.0,2026-08-29 04:27:39,BARB_R-4960427
pay_79f70a3d6f2749,33145,571.0,103.0,emi,CNRB,captured,80729306,2026-08-27 04:41:43,32471.0,2026-08-28 04:41:43,CNRB-80729306
pay_TUh9NFYn12N6Qz,41434,,,wallet,,failed,,2026-08-27 06:27:55,41434.0,2026-08-29 06:27:55,UNKNOWN
pay_TUh9cnQMAUSXXm,41434,979.0,150.0,netbanking,CNRB,captured,6215077,2026-08-27 06:28:09,40305.0,2026-08-28 06:28:09,CNRB-6215077
pay_TUhA5IctQMk2jj,36883,870.0,132.0,netbanking,PUNB_R,captured,5735019,2026-08-27 06:28:35,35881.0,2026-08-29 06:28:35,PUNB_R-5735019
pay_TUhHyMYw8LYSPV,10111,239.0,36.0,netbanking,UTBI,captured,3058587,2026-08-27 06:36:03,9836.0,2026-08-29 06:36:03,UTBI-3058587
pay_TUhINYJJInOKUJ,23213,549.0,84.0,netbanking,IBKL,captured,9925606,2026-08-27 06:36:26,22580.0,2026-08-28 06:36:26,IBKL-9925606
pay_TUhIpr3lgbg6xG,26173,618.0,94.0,netbanking,BARB_R,captured,8348864,2026-08-27 06:36:52,25461.0,2026-08-28 06:36:52,BARB_R-8348864
pay_TUhJUGTk5QVrmN,45075,1064.0,162.0,netbanking,CNRB,captured,7956145,2026-08-27 06:37:29,43849.0,2026-08-29 06:37:29,CNRB-7956145
pay_TUhKBAYmViteY5,39601,935.0,142.0,netbanking,UTBI,captured,2244918,2026-08-27 06:38:09,38524.0,2026-08-28 06:38:09,UTBI-2244918
pay_TUhKmGg4Aa2S5Y,48571,1146.0,174.0,netbanking,IBKL,captured,6591293,2026-08-27 06:38:43,47251.0,2026-08-28 06:38:43,IBKL-6591293
pay_TUhLEAbf2MJr8n,15081,356.0,54.0,netbanking,BARB_R,captured,2375729,2026-08-27 06:39:08,14671.0,2026-08-29 06:39:08,BARB_R-2375729
pay_TUhMLw1p876lrP,32426,765.0,116.0,netbanking,CNRB,captured,1381844,2026-08-27 06:40:12,31545.0,2026-08-29 06:40:12,CNRB-1381844
pay_TUhNCTc6T2oxXB,28547,673.0,102.0,netbanking,CNRB,captured,1930466,2026-08-27 06:41:00,27772.0,2026-08-28 06:41:00,CNRB-1930466
pay_TUhNhEIdNoGBwR,23646,559.0,86.0,netbanking,BARB_R,captured,3176323,2026-08-27 06:41:28,23001.0,2026-08-29 06:41:28,BARB_R-3176323
pay_TUhO4QR1aGHCFO,35195,830.0,126.0,wallet,,captured,,2026-08-27 06:41:50,34239.0,2026-08-29 06:41:50,UNKNOWN
